"","Name.in.English","Degree.of.endangerment","Latitude","Longitude"
"125","Old Prussian","Extinct",54.8987,20.4895
"126","|Xam","Extinct",-32.2853,20.759
"127","ǁKx'au","Extinct",-32.2896,21.7968
"128","Krevin","Extinct",56.35,24.2907
"129","Deti","Extinct",-20.9614,24.461
"130","Baygo","Extinct",11.7436,24.6423
"131","Togoyo","Extinct",8.5049,24.7961
"132","Birgid","Extinct",14.8598,25.0103
"133","Berti","Extinct",14.6898,25.9524
"134","!Gan!ne","Extinct",-31.3911,26.6748
"135","ǁKu ǁ'e","Extinct",-29.9739,27.0812
"136","Homa","Extinct",5.5011,27.3779
"137","Kemi Saami","Extinct",67.0631,27.6635
"138","Ubykh (Turkey)","Extinct",40.0402,28.0096
"139","Li-Ngbee","Extinct",2.4931,28.059
"140","Coptic","Extinct",26.8915,29.0959
"141","ǁXegwi","Extinct",-25.35,30.99
"142","Akkala Saami","Extinct",67.5809,31.668
"143","Cappadocian Greek (Turkey)","Extinct",38.048,32.6953
"144","Karelian (Valday)","Extinct",58.0284,33.3215
"145","Nyang'i","Extinct",3.5024,33.3764
"146","Singa","Extinct",-0.1373,33.695
"147","Gothic","Extinct",44.653,33.8598
"148","Napore","Extinct",3.8478,33.9147
"149","Karaim (Crimea)","Extinct",45.058,33.9477
"150","Gule","Extinct",10.0986,34.1235
"151","Gafat","Extinct",10.6768,35.8264
"152","Kw'adza","Extinct",-5.3753,35.8621
"153","Sogoo","Extinct",-1.0435,36.6006
"154","Elmolo","Extinct",2.7212,36.7326
"155","Yaaku","Extinct",0.4394,37.1777
"156","Kinare","Extinct",-0.725,37.2436
"157","Lorkoti","Extinct",-0.4943,37.359
"158","Aasax","Extinct",-5.1948,37.738
"159","Qwarenya","Extinct",9.9207,38.3828
"160","Ge'ez","Extinct",8.9936,38.7597
"161","Ubykh (Caucasus)","Extinct",43.5585,39.8597
"162","Mlahso (Turkey)","Extinct",38.4595,40.6507
"163","Kore","Extinct",-2.2845,40.9185
"164","Mlahso (Syria)","Extinct",37.0542,41.2363
"165","Lishana Deni (Iraq)","Extinct",36.9279,42.5115
"166","Barzani Jewish Neo-Aramaic (Iraq)","Extinct",36.2619,43.9892
"167","Lishanid Noshan (Iraq)","Extinct",36.1777,44.165
"168","Lishan Didan (Iran)","Extinct",37.9615,44.6044
"169","Kilit","Extinct",38.9455,46.0989
"170","Hulaula (Iran)","Extinct",35.9068,46.1535
"171","Western Mansi","Extinct",61.1432,62.4023
"172","Southern Mansi","Extinct",58.4362,65.5664
"173","Southern Khanty","Extinct",60.4301,69.9829
"174","Tolcha","Extinct",29.9333,80.0326
"175","Rangkas","Extinct",30.0358,80.1342
"176","Yurats","Extinct",69.2872,81.914
"177","Ongkor Solon","Extinct",46.7774,83.0456
"178","Dura","Extinct",28.2898,84.4519
"179","Pumpokol","Extinct",58.6397,87.517
"180","Yug","Extinct",61.0901,88.1982
"181","Arin","Extinct",56.2982,91.7468
"182","Ahom","Extinct",26.5393,92.5378
"183","Kamas Turk","Extinct",58.109,92.7101
"184","Kamas","Extinct",57.9964,92.8784
"185","Andro","Extinct",24.8415,94.0539
"186","Sengmai","Extinct",24.6445,94.0567
"187","Chairel","Extinct",24.976,94.2407
"188","Kott","Extinct",56.3013,94.5318
"189","Malin","Extinct",24.57,94.56
"190","Pyu","Extinct",18.9424,94.8751
"191","Taman","Extinct",25.1651,95.2514
"192","Mator","Extinct",54.0593,95.4492
"193","Hpun","Extinct",24.65,97.0666
"194","Phalok","Extinct",18.9582,98.789
"195","Soyot","Extinct",52.0406,101.0659
"196","Kenaboi","Extinct",3.1129,102.0322
"197","Orang Kanaq","Extinct",1.8858,103.9814
"198","Seru","Extinct",1.9195,111.2049
"199","Ngarla","Extinct",-20.5916,119.0917
"200","Tobada'","Extinct",-2.019,119.4708
"201","Siraiya","Extinct",23.0013,120.3634
"202","Hoanya","Extinct",23.5665,120.3826
"203","Papora","Extinct",24.2006,120.6037
"204","Babuza","Extinct",24.01,120.623
"205","Taokas","Extinct",24.4471,120.7232
"206","Kulun","Extinct",24.9823,121.3591
"207","Ketangalan","Extinct",25.0433,121.4813
"208","Basay","Extinct",25.1378,121.6543
"209","Arta","Extinct",16.4225,121.7042
"210","Dicamay Agta","Extinct",16.6998,122.0167
"211","Katabaga","Extinct",13.4366,122.5569
"212","Palumata","Extinct",-3.1569,126.0516
"213","Hukumina","Extinct",-3.1514,126.2713
"214","Kayeli","Extinct",-3.39,127.1008
"215","Liliali","Extinct",-3.39,127.1008
"216","Moksela","Extinct",-3.4654,127.1694
"217","Piru","Extinct",-3.05,128.1747
"218","Naka'ela","Extinct",-2.847,128.5208
"219","Kyakala","Extinct",45.3819,128.7597
"220","Te'un (Te'un Island)","Extinct",-6.9809,129.1394
"221","Nila (Nila Island)","Extinct",-6.7331,129.5288
"222","Marrgu","Extinct",-11.3292,132.0227
"223","Gaagudju","Extinct",-12.2755,132.6379
"224","Mapia","Extinct",0.8321,134.3023
"225","Tandia","Extinct",-2.8552,134.522
"226","Kurtjar","Extinct",-18.0623,140.4052
"227","Yir Yoront","Extinct",-16.3095,141.4489
"228","Ainu (Sakhalin)","Extinct",47.3983,142.2949
"229","Mahigi","Extinct",-7.6688,143.0227
"230","Karami","Extinct",-7.1335,143.8659
"231","Kaniet","Extinct",-0.898,145.5441
