"","Name.in.English","Degree.of.endangerment","Latitude","Longitude"
"498","Maringarr","Critically endangered",-14.1525,129.6166
"499","Marrisyefin","Critically endangered",-13.934,129.8254
"500","Marrithiyel","Critically endangered",-13.806,130.0451
"501","Hoti","Critically endangered",-3.0143,130.3692
"502","Madngele","Critically endangered",-13.3789,130.5395
"503","Malak Malak","Critically endangered",-13.7713,130.6384
"504","Duriankere","Critically endangered",-1.3896,130.9247
"505","Ngaliwuru","Critically endangered",-15.5595,131.0614
"506","Tobian","Critically endangered",2.9594,131.8084
"507","Rembarrnga","Critically endangered",-13.3896,133.6706
"508","Kilen","Critically endangered",47.4689,133.8574
"509","Mangarrayi","Critically endangered",-14.8067,133.8793
"510","Mansim","Critically endangered",-0.9008,134.0441
"511","Alawa","Critically endangered",-16.4676,134.0771
"512","Dusner","Critically endangered",-2.7139,134.3888
"513","Ngalakan","Critically endangered",-14.5729,134.4946
"514","Wambaya","Critically endangered",-17.7696,134.923
"515","Ngandi","Critically endangered",-13.6459,135.2087
"516","Arabana","Critically endangered",-28.6134,135.8349
"517","Udege","Critically endangered",47.6209,136.0903
"518","Woria","Critically endangered",-2.4011,136.4886
"519","Saponi","Critically endangered",-2.4025,136.5037
"520","Kwerisa","Critically endangered",-2.9759,138.153
"521","Waanyi","Critically endangered",-17.7486,138.2739
"522","Massep","Critically endangered",-1.7575,138.3178
"523","Ganggalidda","Critically endangered",-17.1001,138.3618
"524","Kaurna","Critically endangered",-34.8498,138.6474
"525","Foya","Critically endangered",-2.4107,138.6996
"526","Mander","Critically endangered",-2.4341,138.7284
"527","Liki","Critically endangered",-1.6202,138.738
"528","Bonerif","Critically endangered",-2.1088,139.2352
"529","Lardil","Critically endangered",-16.5526,139.3176
"530","Kayardild","Critically endangered",-17.1197,139.4604
"531","Kapori","Critically endangered",-3.4,139.7
"532","Oroch","Critically endangered",49.1781,139.7625
"533","Negidal","Critically endangered",52.942,139.779
"534","Kembra","Critically endangered",-3.908,140.3942
"535","Nivkh (Amur)","Critically endangered",53.2684,140.4107
"536","Ulcha","Critically endangered",52.0457,140.4162
"537","Kayupulau","Critically endangered",-2.5464,140.725
"538","Usku","Critically endangered",-3.5449,140.7499
"539","Puari","Critically endangered",-2.8689,141.6577
"540","Sissano","Critically endangered",-3.0129,142.0491
"541","Kunjen","Critically endangered",-16.1316,142.207
"542","Wangkumara","Critically endangered",-27.2064,142.4597
"543","Kuuku Ya'u","Critically endangered",-12.0185,142.8112
"544","Ainu (Hokkaido)","Critically endangered",43.2612,142.8222
"545","Orok","Critically endangered",52.3437,143.0557
"546","Paakantyi","Critically endangered",-31.5598,143.3935
"547","Wangaaybuwan","Critically endangered",-31.1093,144.9975
"548","Mawak","Critically endangered",-4.5819,145.3079
"549","Kowaki","Critically endangered",-4.6079,145.4067
"550","Dyirbal","Critically endangered",-18.0205,145.4809
"551","Bilakura","Critically endangered",-4.9404,145.5303
"552","Abaga","Critically endangered",-6.1883,145.5976
"553","Dumun","Critically endangered",-5.5421,146.0906
"554","Kawucha","Critically endangered",-6.9373,146.1621
"555","Kamasa","Critically endangered",-6.95,146.2
"556","Taap","Critically endangered",-6.146,146.3955
"557","Susuami","Critically endangered",-7.2044,146.5493
"558","Hermit","Critically endangered",-2.0869,146.9311
"559","Wiradjuri","Critically endangered",-34.5608,147.041
"560","Yarawi","Critically endangered",-7.9001,147.6411
"561","Sene","Critically endangered",-6.3753,147.7825
"562","Ouma","Critically endangered",-10.233,149.1
"563","Laua","Critically endangered",-10.1824,149.2053
"564","Turaka","Critically endangered",-9.796,149.447
"565","Gamilaraay","Critically endangered",-29.7929,149.7106
"566","Dhurga","Critically endangered",-35.4964,150.249
"567","Dharawal","Critically endangered",-34.7235,150.5786
"568","Tench","Critically endangered",-1.6394,150.6939
"569","Dharug","Critically endangered",-34.0344,150.9301
"570","Forest Yukagir","Critically endangered",65.4936,151.0757
"571","Makolkol","Critically endangered",-4.8994,151.6827
"572","Gumbaynggirr","Critically endangered",-30.3349,152.8198
"573","Guranalum","Critically endangered",-4.3464,152.8417
"574","Badala","Critically endangered",-25.285,153.1054
"575","Tundra Yukagir","Critically endangered",69.1654,154.4732
"576","Itelmen","Critically endangered",57.1496,156.9012
"577","Ririo","Critically endangered",-6.91,156.9671
"578","Zazao","Critically endangered",-8.1832,159.2269
"579","Mokilese","Critically endangered",6.6864,159.7631
"580","Arha","Critically endangered",-21.3047,165.0146
"581","Arho","Critically endangered",-21.274,165.0503
"582","Aleut (Western, Commander Islands)","Critically endangered",55.171,166.094
"583","Vano","Critically endangered",-11.6286,166.8383
"584","Tanema","Critically endangered",-11.6986,166.9111
"585","Araki","Critically endangered",-15.6322,166.9413
"586","Lorediakarkar","Critically endangered",-15.1967,167.0498
"587","Matanvat","Critically endangered",-15.8972,167.1947
"588","Tape","Critically endangered",-16.0953,167.3094
"589","Nivat","Critically endangered",-16.1302,167.3835
"590","Bangsa","Critically endangered",-16.146,167.389
"591","Niviar","Critically endangered",-16.1302,167.3945
"592","Lemerig","Critically endangered",-13.7473,167.4096
"593","Aveteian","Critically endangered",-16.3985,167.4213
"594","Olrat","Critically endangered",-14.2796,167.4302
"595","Naman","Critically endangered",-16.1216,167.4337
"596","Naati","Critically endangered",-16.515,167.4645
"597","Nasarian","Critically endangered",-16.3517,167.4659
"598","Navwien","Critically endangered",-16.469,167.4975
"599","Mwesen","Critically endangered",-13.874,167.5415
"600","Copper Island Aleut","Critically endangered",54.7753,167.5662
"601","Sorsorian","Critically endangered",-16.4709,167.6499
"602","Nisvai","Critically endangered",-16.4492,167.7117
"603","Volow","Critically endangered",-13.6433,167.7159
"604","Sowa","Critically endangered",-15.8609,168.1842
"605","Bieria","Critically endangered",-16.8045,168.2446
"606","Ura","Critically endangered",-18.654,169.074
